DATE;PIECE;TYPE;LIBELLE;MONTANT
05/11/2025;FA-1041;700 - HONORAIRES NR;GESTIMMO SYNDIC - Honoraires de gestion 4e trimestre 2025;1 380,00
28/11/2025;FA-1052;120 - CONTRAT ENTRETIEN MENAGER R;NETTALIS PROPRETE - Nettoyage des parties communes novembre;624,00
16/12/2025;FA-1067;135 - CONTRAT MINIMAL ASCENSEUR R;ASCELIA ASCENSEURS - Contrat d'entretien 4e trimestre;735,00
05/01/2026;FA-1080;142 - CONTRAT CHAUFFAGE P2 R;CALORIS CHAUFFAGE - Contrat P2 janvier a mars;1 240,00
12/01/2026;FA-1091;195 - CONTRAT ASSURANCE MULTIRISQUES NR;ASSURIA - Prime multirisque immeuble 2026;2 480,00
22/01/2026;FA-1103;606 - TRAVAUX;ASCELIA ASCENSEURS - Remplacement du variateur de la cabine;1 240,00
04/02/2026;FA-1118;606 - TRAVAUX;SERRUPRO SERRURERIE - Remplacement du cylindre du hall et 40 cles;1 680,00
27/02/2026;FA-1126;606 - TRAVAUX;ASCELIA ASCENSEURS - Depannage du 21/02 hors contrat;460,00
12/03/2026;FA-1139;606 - TRAVAUX;VERTIPARC JARDINS - Abattage du peuplier pignon nord;1 150,00
14/03/2026;FA-1148;606 - TRAVAUX;CALORIS CHAUFFAGE - Ramonage et controle annuel de la chaufferie;615,00
09/04/2026;FA-1161;606 - TRAVAUX;CALORIS CHAUFFAGE - Remplacement de l'echangeur a plaques;2 940,00
07/05/2026;FA-1174;606 - TRAVAUX;ASCELIA ASCENSEURS - Mise en conformite porte paliere 3e etage;890,00
20/02/2026;FA-1132;606 - TRAVAUX;NETTALIS PROPRETE - Refection du local poubelles;1 460,00
TOTAL EXERCICE;;;;16 894,00
